Array Size | Bubblesort | Insertion Sort | Builtin Sort | Quicksort | Mergesort
         1 |   0.000000 |       0.000000 |     0.000000 |  0.000200 |    0.000147
         2 |   0.000000 |       0.000000 |     0.000000 |  0.002092 |    0.001008
         4 |   0.000000 |       0.000000 |     0.000000 |  0.003290 |    0.005159
         8 |   0.000000 |       0.000000 |     0.000000 |  0.014041 |    0.011543
        16 |   0.000000 |       0.000000 |     0.000000 |  0.030721 |    0.029344
        32 |   0.000000 |       0.000000 |     0.000000 |  0.067679 |    0.055476
        64 |   0.000000 |       0.000000 |     0.000000 |  0.141998 |    0.144318
       128 |   0.000000 |       0.000000 |     0.000000 |  0.274954 |    0.307605
       256 |   0.000000 |       0.000000 |     0.000000 |  0.757249 |    0.669217
       512 |   0.000000 |       0.000000 |     0.000000 |  1.818016 |    1.572246
      1024 |   0.000000 |       0.000000 |     0.000000 |  3.271899 |    3.435056
      2048 |   0.000000 |       0.000000 |     0.000000 |  6.951933 |    7.727315
      4096 |   0.000000 |       0.000000 |     0.000000 | 14.105372 |   17.175917
      8192 |   0.000000 |       0.000000 |     0.000000 | 30.009789 |   38.812617
     16384 |   0.000000 |       0.000000 |     0.000000 | 64.595628 |   97.715888
